Pos,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%
SF,12.8,1.5,2.3,0.667,0,0.3,0,0,0,
PG,14.3,2,5,0.393,1,2.6,0.375,0.2,0.2,1
PG,12.3,1,3.4,0.294,0.7,1.6,0.438,0,0,
PG,15.4,2.5,5.9,0.425,1.1,3.1,0.357,0.3,0.3,1
PF,20.3,3.6,6.5,0.545,0.1,0.7,0.205,2,2.6,0.769
PF,13.5,1.3,3.2,0.406,0.9,2.6,0.351,0.2,0.2,0.9
PF,11.8,1.3,3.3,0.39,1,2.8,0.353,0.3,0.4,0.857
PF,14.8,1.3,3.1,0.419,0.9,2.5,0.35,0.1,0.1,1
PF,22.4,5.1,8.3,0.618,0.4,1.1,0.359,1.5,1.9,0.759
SG,24,5.5,12.2,0.454,2.1,5.8,0.368,1.9,2.3,0.836
SG,23,5,11.2,0.442,2,5.5,0.371,2.6,3,0.884
SG,24.7,6,12.9,0.462,2.2,6,0.366,1.5,1.9,0.785
PF,12.5,1.8,3.2,0.563,0.1,0.5,0.143,0.7,1.4,0.524
SG,8.8,1.7,4.3,0.401,1.1,3.2,0.346,0.3,0.3,0.909
SG,4.2,0.4,1.3,0.286,0,0.3,0,0.3,0.5,0.6
SG,8.8,1.3,3,0.426,0.3,1.1,0.316,0.3,0.6,0.545
PF,33.2,8.6,14.8,0.583,1.4,3.6,0.401,2.9,3.7,0.8
PF,26.4,2.9,6.2,0.471,0.6,1.7,0.368,0.5,0.7,0.75
PG,29,4.9,12.1,0.409,2,5.4,0.375,2.4,3,0.827
SG,18.6,2,4.5,0.455,0.8,2.5,0.331,0.5,0.6,0.775
PG,11.5,2.1,4.9,0.425,0.7,1.9,0.365,0.3,0.3,0.786
PF,4.2,0.6,0.9,0.667,0,0,,0.5,0.6,0.875
